Chapter	Question Code	Question	Question Choice	Answer 1	Answer 2	Answer 3	Answer 4	Answer 5	Answer 6	Correct Answer	Difficulty Level	Category	Sub Topics	Explanation	Page Number
Chapter 1	INST-3E-001	Which statement BEST DESCRIBES the primary focus of the EMS Agenda 2050 framework for future emergency medical services systems?	Single	"A people-centered approach emphasizing seven priorities including inherently safe, effective, integrated, sustainable, reliable, socially equitable, and adaptable systems"	"A technology-centered approach emphasizing advanced equipment, digital integration, mobile health applications, telemedicine capabilities, and electronic patient care reporting systems"	"A provider-centered approach emphasizing recruitment strategies, competitive compensation, continuing education requirements, certification standards, and workforce retention programs"	"A community-centered approach emphasizing public education campaigns, bystander CPR training, automated external defibrillator placement, emergency preparedness, and disaster response coordination"			A	2	Introduction	Attributes of Effective Educators > EMS Agenda 2050	"The EMS Agenda 2050 establishes a people-centered vision built on seven interconnected priorities that ensure EMS systems serve patients and communities effectively while supporting practitioners. The technology-centered approach represents a common misconception, as technology serves as a tool rather than the primary focus, though it would be appropriate when discussing specific implementation strategies for modernizing service delivery. The provider-centered approach addresses important workforce issues that support system sustainability, but would be more appropriate when specifically discussing the 'sustainable' priority's human resource components. The community-centered approach describes valuable public health initiatives that relate to the 'integrated' and 'socially equitable' priorities, but would be better applied when examining community engagement strategies within the broader people-centered framework."	"Foundations of Education, page 35"
Chapter 1	INST-3E-002	Which approach BEST represents the process of developing an authentic teaching philosophy?	Single	Analyzing both positive and negative aspects of each experience to identify personal beliefs about what matters most in teaching	Selecting the single most effective teaching approach observed and consistently applying those same methods in all instructional settings	Reviewing current educational research literature to identify the most evidence-based instructional strategies recommended by experts	Examining the institution's curriculum standards and aligning personal beliefs to match the program's established educational objectives			A	4	Introduction	Attributes of Effective Educators > Developing a Teaching Philosophy	"Developing an authentic teaching philosophy requires reflecting on both positive and negative learning experiences to determine personalized beliefs about what is most important in education. Option B incorrectly assumes that one observed approach represents a complete philosophy, when philosophy development requires synthesizing multiple experiences rather than copying a single model. Option C confuses instructional methods selection with philosophy development; while research informs practice, a teaching philosophy emerges from personal reflection on experiences rather than literature review alone. Option D reverses the appropriate relationship; while institutional objectives guide curriculum, a teaching philosophy represents the educator's core personal beliefs that should inform rather than be dictated by external standards."	"Foundations of Education, page 37"
Chapter 1	INST-3E-027	Which statement BEST DESCRIBES continuing professional development?	Single	"Continuing professional development includes self-directed learning, formal professional development, and organizational development."	Professional development is only necessary for new educators.	Formal professional development is the only valid form of professional growth.	Continuing professional development focuses solely on technical skill improvement.			A	2	Introduction	Attributes of Effective Educators > Continuing Professional Development	"Continuing professional development includes self-directed learning, formal professional development, and organizational development, offering a holistic approach to growth. 'Professional development is only necessary for new educators' is inaccurate, as ongoing development is essential for all educators. 'Formal professional development is the only valid form of professional growth' overlooks the importance of self-directed learning and organizational development. 'Continuing professional development focuses solely on technical skill improvement' is misleading, as it also encompasses personal and professional skills."	"Foundations of Education, page 45"
Chapter 4	INST-3E-128	"An EMS instructor has just completed a high-fidelity cardiac arrest simulation with paramedic students. Several students appear frustrated after making errors during the scenario, and one student comments that the experience was 'a waste of time.' What should the instructor do to ensure meaningful experiential learning occurs?"	Single	"Facilitate a structured debriefing that acknowledges emotional responses, guides multi-perspective reflection on the experience, helps students derive clinical concepts, and discusses application to future patient encounters."	Immediately repeat the simulation with the same students using identical parameters so they can demonstrate improved performance and build confidence through successful task completion on the second attempt.	Document the students' psychomotor skill deficiencies observed during the simulation and schedule additional practice sessions focused on technical skill refinement before attempting another full scenario.	"Provide positive reinforcement about aspects the students performed well, then transition to the next scheduled topic to maintain curriculum pacing and prevent dwelling on negative emotions."			A	3	Learning Styles	Principles of Adult Learning > Practical Application of the Theory > Experiential Learning	"The correct answer applies all four phases of the experiential learning cycle: acknowledging emotions (negative emotions must be recognized), facilitating reflection from multiple perspectives, helping students develop abstract concepts, and connecting to future application. This transforms the concrete experience into deep learning. Immediately repeating the simulation would be appropriate when students need deliberate practice on isolated skills, but it bypasses the critical reflection and conceptualization phases necessary for experiential learning. Documenting deficiencies and scheduling skill practice would be suitable for psychomotor remediation plans, but focuses only on technical performance without leveraging the rich learning potential of the complete experience. Providing positive reinforcement and moving forward might be appropriate for time-constrained situations requiring surface-level coverage, but it treats the simulation as merely 'doing' without the reflection and analysis that distinguish true experiential learning from simple activity completion."	"Foundations of Education, page 116"
Chapter 4	INST-3E-151	Which statement BEST DESCRIBES self-directed learning?	Single	"Self-directed learning involves learners taking initiative in diagnosing their learning needs, identifying resources, implementing strategies, and evaluating their own learning outcomes."	"Self-directed learning means that learners engage in educational activities completely without any guidance, structure, or support from instructors or educational institutions."	All adults are naturally self-directed learners who inherently possess the ability and motivation to manage their own learning without needing to develop these skills.	Self-directed learning focuses primarily on autonomous learning activities where learners work independently without seeking or receiving any external feedback or instructor input.			A	2	Learning Styles	Principles of Adult Learning > Selected Learning Theories > Self-Directed Learning	"Self-directed learning involves learners taking initiative in diagnosing their learning needs and evaluating outcomes, which empowers them to tailor their educational experience. 'Self-directed learning means learning without any guidance or structure' is not the most effective approach unless learners are highly experienced and self-motivated, which is not always the case. 'All adults are naturally self-directed learners' would be appropriate if all learners had the same level of maturity and motivation, but this varies widely. 'Focus on autonomous learning without any external feedback' addresses the independence aspect, but feedback is crucial for assessing progress and making adjustments."	"Foundations of Education, page 109"
Chapter 10	INST-3E-347	An EMS instructor is developing a simulation-based lesson plan for managing cardiac arrest in a crowded shopping mall. The instructor has written the scenario objectives and selected the mannequin and equipment. What critical component should the instructor develop next to ensure the simulation achieves its educational goals?	Single	"A detailed debriefing plan with specific questions addressing decision-making, teamwork, communication priorities, and clinical judgment demonstrated during the scenario"	A skills checklist adapted from the practical examination format to document each psychomotor skill performed correctly during the simulation experience	A case-based discussion guide with questions about pathophysiology and treatment protocols that students can review after watching the scenario	A comprehensive list of all possible medications and interventions students might use so the instructor can have supplies ready for any decision			A	3	Lesson Plans	Specialized Lesson Plans > Simulation	"Simulation lesson plans require pre-planned debriefing topics or questions as an essential component because debriefing is where most learning occurs and cannot be effectively improvised. Skills checklists are appropriate for psychomotor skills labs where individual skill performance is the focus, but simulations emphasize integrated performance and team dynamics rather than isolated skill documentation. Case-based discussion guides work well for classroom analysis of written scenarios, but simulations require debriefing that addresses the actual performance, emotions, and decisions made during the hands-on experience. Creating an exhaustive supply list for every possible student decision is impractical and unnecessary; simulation lesson plans should specify the equipment and conditions for the scenario setup, not attempt to anticipate every theoretical intervention."	"Foundations of Education, page 213"
Chapter 10	INST-3E-355	How should an instructor effectively use a summary session in their lesson plan?	Single	The summary session provides closure by tying together the lesson's key points.	Summaries are optional and can be skipped.	Repeating the motivational activity is unnecessary.	Lesson closure techniques are less important than initial engagement.			A	2	Lesson Plans	Lesson Plans > Body of the Lesson Plan > Summary Session	"The summary session provides closure by tying together the lesson's key points, which helps reinforce learning and ensure understanding. Believing 'summaries are optional and can be skipped' misses their role in consolidating knowledge. Thinking 'repeating the motivational activity is unnecessary' overlooks the value of re-engagement strategies. 'Lesson closure techniques are less important than initial engagement' fails to recognize the significance of both starting and concluding lessons effectively."	"Foundations of Education, page 211"
Chapter 12	INST-3E-419	Which statement BEST DESCRIBES the psychomotor skill level typically demonstrated by an experienced paramedic who simultaneously performs endotracheal intubation while directing team members and interpreting cardiac rhythms?	Single	"Naturalization, where extensive experience enables flawless multitasking performance without conscious attention to individual skill components, representing the highest level of psychomotor mastery."	"Articulation, where the provider has learned to coordinate multiple distinct skills together and can perform them in sequence during complex patient care scenarios."	"Automaticity, where the provider has achieved sufficient practice repetitions to perform the skill correctly and is ready to advance to more complex applications."	"Advanced competence, where the provider demonstrates consistent skill performance meeting certification standards and can successfully complete psychomotor evaluations under testing conditions."			A	2	Teaching Thinking Skills	Teaching in All Domains > Articulation > Naturalization	"Naturalization is the correct answer because it represents the highest psychomotor domain level where performance becomes effortless 'muscle memory,' allowing providers to multitask effectively while performing complex manual skills. Articulation involves coordinating multiple skills but still requires conscious attention to performance, making it appropriate for intermediate learners who are combining previously mastered individual skills. Automaticity describes skill consistency but does not encompass the effortless multitasking characteristic of naturalization, representing an earlier developmental stage appropriate for students who have practiced sufficiently to perform reliably. Advanced competence and expert proficiency, while suggesting high-level performance, describe meeting standards and reliable execution rather than the unconscious, effortless performance with concurrent multitasking that defines naturalization in the psychomotor domain."	"Foundations of Education, page 253"
Chapter 2	INST-3E-061	An EMS program is facing accreditation issues. How should the program director address this?	Single	Ensure that comprehensive program policies are properly developed and that full compliance with all applicable regulatory standards and accreditation requirements is consistently maintained.	Focus all efforts and resources solely on increasing student enrollment numbers without addressing the underlying accreditation issues that the program is currently facing.	Delegate all program responsibilities and decision-making authority to administrative staff members without maintaining director oversight or involvement in accreditation matters.	Prioritize expanding and enhancing the curriculum offerings and course content without first addressing the core accreditation issues that need immediate attention.			A	3	Roles and Responsibilities	EMS Educator Roles > Responsibilities of the Program Director	"Ensuring program policies and compliance with standards is crucial for addressing accreditation issues effectively. Focusing solely on increasing student enrollment is not the most effective approach UNLESS the issue is directly related to financial viability. Delegating all responsibilities to administrative staff would be appropriate IF the issue were purely clerical, but in this scenario, leadership involvement is crucial. Prioritizing curriculum expansion could be effective when the goal is program growth, however, this scenario requires addressing existing compliance and policy issues first."	"Foundations of Education, page 58"
Chapter 2	INST-3E-064	An instructor is creating a test for an EMS course. What should they ensure for the test items?	Single	"Ensure that the tests demonstrate reliability and validity in their measurements, while maintaining clear alignment with the established learning outcomes and specific lesson objectives."	Include a large number of trick questions throughout the examination in order to challenge students and increase the difficulty level of the assessment.	"Focus primarily on recall-level questions for efficiency purposes, emphasizing memorization and basic knowledge retrieval rather than higher-order thinking skills in the test design."	"Design tests with the primary goal of enabling quick grading with minimal instructor effort, prioritizing ease of scoring over comprehensive assessment of student competencies."			A	3	Roles and Responsibilities	EMS Educator Roles > Developing and Grading Tests	"Reliability and validity in tests ensure they accurately measure student understanding and align with educational goals. EMS educators should not craft trick questions, as they do not accurately assess student competence and undermine the validity of the assessment. Focusing solely on recall-level questions limits comprehensive understanding, as effective assessments require varied question types that measure different cognitive levels. Designing tests primarily for quick grading sacrifices educational quality and comprehensive assessment of student competencies for convenience."	"Foundations of Education, page 64"
