Code,Question,Type,Exam Level,Category,Sub Categories,Question Appeared,Question Attempted,Total Correct,Total Incorrect,Difficulty index,Answer 1,Answer 1 Respondents,Answer 2,Answer 2 Respondents,Answer 3,Answer 3 Respondents,Answer 4,Answer 4 Respondents,Answer 5,Answer 5 Respondents,Answer 6,Answer 6 Respondents
TEE-10001,A patient has sustained a blow to the face during a sports event and has a tooth knocked out. What two options are the best to perform in this situation?,MSQ,"EMT, AEMT",Trauma Exit Exam,"Head, Facial, neck, and Spine Trauma, Special considerations in trauma, Head, Facial, neck, and Spine Trauma, Special considerations in trauma",855,832,529,303,0.64,Control bleeding from the tooth socket,720,Transport the tooth in a cup of saline if possible,623,Insert the tooth into the patients mouth to prevent bacteria from degrading the tooth,55,Irrigation of the tooth socket,170,Transport to the closest oral surgeon,102,,
TEE-10002,A patient involved in a motorcycle accident has a severe head injury and is unconscious with irregular breathing. What is the immediate management priority?,MCQ,"EMT, AEMT",Trauma Exit Exam,"Airway Management, Primary Assessment, Multi-System Trauma, Airway Management, Primary Assessment, Multi-System Trauma",855,834,710,124,0.85,Ensure a patent airway,711,Assist ventilations via BVM,103,Provide high-flow oxygen,21,Keep the patient warm,1,,,,
TEE-10003,"An elderly patient presents with pain, swelling, and limited range of motion in the knee after a fall. What type of injury should you consider?",MCQ,"EMT, AEMT",Trauma Exit Exam,"Orthopedic Trauma, Orthopedic Trauma",855,834,575,259,0.69,Sprain of the knee joint,577,Compartment syndrome,32,Proximal tibia fracture,206,Achiles tendon rupture,21,,,,
TEE-10004,"In the residential setting, what is the most likely cause of a high-pressure injection injury?",MCQ,"EMT, AEMT",Trauma Exit Exam,"Special considerations in trauma, Special considerations in trauma",854,832,565,267,0.68,Water,567,Grease,118,Paint,132,Sand,17,,,,
TEE-10005,A patient was involved in a high-speed collision and presents with significant bruising on their chest and difficulty breathing. You note crepitus and pain with rib palpation with paradoxical chest wall motion. What is the likely injury?,MCQ,"EMT, AEMT",Trauma Exit Exam,"Chest Trauma, Chest Trauma",854,834,740,94,0.89,Flail Chest,741,Hemothorax,21,Pneumothorax,30,Tension pneumothorax,44,,,,
TEE-10006,A patient fell from a ladder and hit their head. You notice blood coming out of the patients ear. What is the likely reason for bleeding from the ear?,MCQ,"EMT, AEMT",Trauma Exit Exam,"Head, Facial, neck, and Spine Trauma, Bleeding, Special considerations in trauma, Head, Facial, neck, and Spine Trauma, Bleeding, Special considerations in trauma",855,830,816,14,0.98,Skull fracture,818,Hypertension,3,Sinusitis,11,Clotting disorder,0,,,,
TEE-10007,"After a car accident, a patient is experiencing loss of motor and sensory function below the level of a thoracic spine injury. What condition should you suspect?",MCQ,"EMT, AEMT",Trauma Exit Exam,"Shock, Head, Facial, neck, and Spine Trauma, Nervous System Trauma, Shock, Head, Facial, neck, and Spine Trauma, Nervous System Trauma",855,836,707,129,0.85,Spinal shock,709,Hypovolemic shock,53,Hemorrhagic shock,55,Cardiogenic shock,21,,,,
TEE-10008,"A factory worker’s hand was caught in a machine, resulting in a traumatic amputation of several fingers. What is the first step in managing the amputated parts?",MCQ,"EMT, AEMT",Trauma Exit Exam,"Special considerations in trauma, Orthopedic Trauma, Soft tissue Trauma, Special considerations in trauma, Orthopedic Trauma, Soft tissue Trauma",855,835,525,310,0.63,Wrap amputated fingers in a moist sterile dressing,527,Place fingers in a plastic bag,199,Keep the transport container cool,97,Keep the amputated fingers at body temperature,14,,,,
TEE-10009,"A child presents with severe abdominal pain and bruising after being hit by a car. They have difficulty breathing, flat neck veins, and asymmetrical chest rise. What is the likely cause of these signs and symptoms?",MCQ,"EMT, AEMT",Trauma Exit Exam,"Chest Trauma, Chest Trauma",855,832,320,512,0.38,Hemothorax,320,Pneumothorax,172,Tension pneumothorax,249,Aortic dissection,93,,,,
TEE-10010,A family is found unconscious after a bad storm. You notice a gas powered generator as you walk into the residence. What is your primary concern?,MCQ,"EMT, AEMT",Trauma Exit Exam,"Special considerations in trauma, Multiple Casualty Incidents, Environmental emergencies, Multiple Casualty Incidents, Special considerations in trauma, Environmental emergencies",854,835,650,185,0.78,Retreat from the home and call for additional resources,651,Removal of the patients from the residence,166,Initial triage of all patients,7,Begin ventilation by breaking the windows,13,,,,
TEE-10011,"A young child presents with seizures, lethargy, and retinal hemorrhages. What condition should you suspect?",MCQ,"EMT, AEMT",Trauma Exit Exam,"Special considerations in trauma, Patients with Special Challenges, Special considerations in trauma, Patients with Special Challenges",854,836,550,286,0.66,Shaken baby syndrome,550,Sudden Infant Death Syndrome (SIDS),18,Brief Resolved Unexplained Event (BRUE),48,Febrile seizures,222,,,,
TEE-10012,A patient involved in a high-speed car accident presents with bruising on the chest and difficulty breathing. Auscultation reveals decreased breath sounds on one side. What injury should you suspect?,MCQ,"EMT, AEMT",Trauma Exit Exam,"Chest Trauma, Multi-System Trauma, Chest Trauma, Multi-System Trauma",854,832,608,224,0.73,Pulmonary contusion,609,Traumatic asphyxia,67,Pulmonary embolism,86,Cardiac tamponade,72,,,,
TEE-10013,You arrive at the scene of a motorcycle accident. The patient has an open wound on their abdomen with internal organs protruding. What treatment would you perform for this injury? ,MCQ,"EMT, AEMT",Trauma Exit Exam,"Abdominal and Genitourinary Trauma, Bleeding, Soft tissue Trauma, Abdominal and Genitourinary Trauma, Bleeding, Soft tissue Trauma",854,838,786,52,0.94,"Cover the exposed organs with a sterile, moist dressing",788,Push the organs back inside the abdomen and cover with a dry dressing,6,"Cover the exposed organs with a sterile, dry dressing",33,Apply direct pressure to the wound to control bleeding,13,,,,
TEE-10014,"A 32-year-old male has been involved in a high-speed car accident. He presents with pain and instability on the right side of his chest, along with paradoxical chest wall motion. What is your primary concern?",MCQ,"EMT, AEMT",Trauma Exit Exam,"Chest Trauma, Multi-System Trauma, Chest Trauma, Multi-System Trauma",854,833,730,103,0.88,Flail Chest,730,Cardiac contusion,25,Pulmonary edema,22,Rib fracture,58,,,,
TEE-10015,"During a football game, a player collapses after being struck in the chest by the ball. He becomes unresponsive with no pulse. What is the likely cause?",MCQ,"EMT, AEMT",Trauma Exit Exam,"Chest Trauma, Chest Trauma",855,832,688,144,0.83,Commotio Cordis,688,Myocardial infarction,49,Pulmonary embolism,12,Cardiac tamponade,85,,,,
TEE-10016,"You are called to a construction site where a worker has fallen from a height. He is conscious but has difficulty breathing, flat jugular veins, and signs of shock. Auscultation reveals diminished breath sounds on the left side. What is the most likely diagnosis?",MCQ,"EMT, AEMT",Trauma Exit Exam,"Chest Trauma, Bleeding, Chest Trauma, Bleeding",855,833,392,441,0.47,Hemothorax,393,Tension pneumothorax,314,Cardiac tamponade,43,Pulmonary contusion,85,,,,
